Категория товара:Продукты питания , Тип товара:Молочные продукты , Наименование товара:Молоко , Цена:71 , Количество:10
Категория товара:Продукты питания , Тип товара:Молочные продукты , Наименование товара:Молоко , Цена:69 , Количество:10
Категория товара:Продукты питания , Тип товара:Молочные продукты , Наименование товара:Молоко , Цена:75 , Количество:10
Категория товара:Продукты питания , Тип товара:Молочные продукты , Наименование товара:Сыр , Цена:443 , Количество:10
Категория товара:Продукты питания , Тип товара:Молочные продукты , Наименование товара:Сыр , Цена:500 , Количество:10
Категория товара:Продукты питания , Тип товара:Выпечка , Наименование товара:Хлеб , Цена:69 , Количество:10
Категория товара:Продукты питания , Тип товара:Выпечка , Наименование товара:Хлеб , Цена:45 , Количество:10
Категория товара:Продукты питания , Тип товара:Выпечка , Наименование товара:Печенье , Цена:78 , Количество:10
Категория товара:Продукты питания , Тип товара:Выпечка , Наименование товара:Печенье , Цена:99 , Количество:10
Категория товара:Бытовая техника , Тип товара:Мелкая бытовая техника , Наименование товара:Соковыжималка , Цена:2500 , Количество:3
Категория товара:Бытовая техника , Тип товара:Мелкая бытовая техника , Наименование товара:Кофеварка , Цена:6000 , Количество:3
Категория товара:Бытовая техника , Тип товара:Мелкая бытовая техника , Наименование товара:Мясорубка , Цена:5300 , Количество:3
Категория товара:Бытовая техника , Тип товара:Мелкая бытовая техника , Наименование товара:Электрочайник , Цена:3300 , Количество:3
Категория товара:Бытовая техника , Тип товара:Крупная бытовая техника , Наименование товара:Кондиционер , Цена:25000 , Количество:3
Категория товара:Бытовая техника , Тип товара:Крупная бытовая техника , Наименование товара:Холодильник , Цена:48000 , Количество:2
Категория товара:Бытовая техника , Тип товара:Крупная бытовая техника , Наименование товара:Стиральная_машина , Цена:33000 , Количество:2
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:23000 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:43000 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:19000 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:10000 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:8500 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Игровая_приставка , Цена:99000 , Количество:3
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Игровая_приставка , Цена:47000 , Количество:3
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:18000 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:36000 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:21000 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:97000 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:54000 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:55000 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:73000 , Количество:5
