Категория товара:Продукты питания , Тип товара:Выпечка , Наименование товара:Хлеб , Цена:45.0 , Артикул:7778 , Количество:10
Категория товара:Продукты питания , Тип товара:Молочные продукты , Наименование товара:Молоко , Цена:69.0 , Артикул:4016 , Количество:10
Категория товара:Продукты питания , Тип товара:Выпечка , Наименование товара:Хлеб , Цена:69.0 , Артикул:21086 , Количество:10
Категория товара:Продукты питания , Тип товара:Молочные продукты , Наименование товара:Молоко , Цена:71.0 , Артикул:4922 , Количество:10
Категория товара:Продукты питания , Тип товара:Молочные продукты , Наименование товара:Молоко , Цена:75.0 , Артикул:7727 , Количество:10
Категория товара:Продукты питания , Тип товара:Выпечка , Наименование товара:Печенье , Цена:78.0 , Артикул:5965 , Количество:10
Категория товара:Продукты питания , Тип товара:Выпечка , Наименование товара:Печенье , Цена:99.0 , Артикул:8243 , Количество:10
Категория товара:Продукты питания , Тип товара:Молочные продукты , Наименование товара:Сыр , Цена:443.0 , Артикул:839 , Количество:10
Категория товара:Продукты питания , Тип товара:Молочные продукты , Наименование товара:Сыр , Цена:500.0 , Артикул:17510 , Количество:10
Категория товара:Бытовая техника , Тип товара:Мелкая бытовая техника , Наименование товара:Соковыжималка , Цена:2500.0 , Артикул:9309 , Количество:3
Категория товара:Бытовая техника , Тип товара:Мелкая бытовая техника , Наименование товара:Электрочайник , Цена:3300.0 , Артикул:65 , Количество:3
Категория товара:Бытовая техника , Тип товара:Мелкая бытовая техника , Наименование товара:Мясорубка , Цена:5300.0 , Артикул:5657 , Количество:3
Категория товара:Бытовая техника , Тип товара:Мелкая бытовая техника , Наименование товара:Кофеварка , Цена:6000.0 , Артикул:19215 , Количество:3
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:8500.0 , Артикул:11041 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:10000.0 , Артикул:10299 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:18000.0 , Артикул:8122 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:19000.0 , Артикул:6481 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:21000.0 , Артикул:1099 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:23000.0 , Артикул:6109 , Количество:5
Категория товара:Бытовая техника , Тип товара:Крупная бытовая техника , Наименование товара:Кондиционер , Цена:25000.0 , Артикул:14942 , Количество:3
Категория товара:Бытовая техника , Тип товара:Крупная бытовая техника , Наименование товара:Стиральная_машина , Цена:33000.0 , Артикул:872 , Количество:2
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:36000.0 , Артикул:1930 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:43000.0 , Артикул:20473 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Игровая_приставка , Цена:47000.0 , Артикул:7876 , Количество:3
Категория товара:Бытовая техника , Тип товара:Крупная бытовая техника , Наименование товара:Холодильник , Цена:48000.0 , Артикул:16509 , Количество:2
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:54000.0 , Артикул:11906 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:55000.0 , Артикул:11093 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:73000.0 , Артикул:7288 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:97000.0 , Артикул:6707 , Количество:5
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Игровая_приставка , Цена:99000.0 , Артикул:944 , Количество:3
