Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:8500.0 , Артикул:2128
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:10000.0 , Артикул:14089
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:18000.0 , Артикул:20758
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:19000.0 , Артикул:12583
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:21000.0 , Артикул:19673
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:23000.0 , Артикул:12731
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:36000.0 , Артикул:19492
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:43000.0 , Артикул:14185
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Игровая_приставка , Цена:47000.0 , Артикул:18983
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:54000.0 , Артикул:4756
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:55000.0 , Артикул:4022
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:73000.0 , Артикул:20450
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:97000.0 , Артикул:8898
Категория товара:Бытовая техника , Тип товара:Бытовая электроника , Наименование товара:Игровая_приставка , Цена:99000.0 , Артикул:8560
